Non-Proneural
Gene	GAD1	TH	HDC	DBH	PNMT	TPH1
GAD1	0.0	0.8028504070075345	0.03576660248658681	0.9999757767397227	0.9988916814010054	0.9988208961644153
TH	0.8028504070075345	0.0	0.6364722522751778	0.6766547537169073	0.6039682762044503	0.26267967052409136
HDC	0.03576660248658681	0.6364722522751778	0.0	0.2473208817992859	0.6115370430628987	0.058635646962770016
DBH	0.9999757767397227	0.6766547537169073	0.2473208817992859	0.0	0.9999999933452737	0.9927875054283395
PNMT	0.9988916814010054	0.6039682762044503	0.6115370430628987	0.9999999933452737	0.0	0.9939437863221212
TPH1	0.9988208961644153	0.26267967052409136	0.058635646962770016	0.9927875054283395	0.9939437863221212	0.0

Proneural
Gene	GAD1	TH	HDC	DBH	PNMT	TPH1
GAD1	0.0	0.5520411897691163	0.014654787805951086	0.20521806694226774	0.6977229427727802	0.19052522344464307
TH	0.5520411897691163	0.0	0.2857315045811779	0.05286673862789171	0.8512886355729279	0.6575286285702602
HDC	0.014654787805951086	0.2857315045811779	0.0	0.26793885250966576	0.6017241661793389	0.15375196744677921
DBH	0.20521806694226774	0.05286673862789171	0.26793885250966576	0.0	0.4531143921778993	0.3202494672621542
PNMT	0.6977229427727802	0.8512886355729279	0.6017241661793389	0.4531143921778993	0.0	0.9335391535070585
TPH1	0.19052522344464307	0.6575286285702602	0.15375196744677921	0.3202494672621542	0.9335391535070585	0.0

Summary
Gene	GAD1	TH	HDC	DBH	PNMT	TPH1
GAD1	None	Non-Proneural	None	Non-Proneural	Non-Proneural	Non-Proneural
TH	Non-Proneural	None	None	None	Proneural	None
HDC	None	None	None	None	None	None
DBH	Non-Proneural	None	None	None	Non-Proneural	Non-Proneural
PNMT	Non-Proneural	Proneural	None	Non-Proneural	None	Both
TPH1	Non-Proneural	None	None	Non-Proneural	Both	None
